name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
TriplePoint Capita...,VC firm,"Australia, Belgium",$10M to $50M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in financing companies' equipment or growth capital needs.,,,,https://www.openvc.app/fund/TriplePoint%20Capital,venture-capital-firms
Thiel Capital,VC firm,"Cayman Islands, China",$100k to $5M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in finance.,,,,https://www.openvc.app/fund/Thiel%20Capital,venture-capital-firms
Idrisi Ventures,VC firm,"Saudi Arabia, UAE",$300k to $1M,"3. Early Revenue, 4. Scaling",Sometimes,"We invest in Post-Revenue, Software, SaaS, $1M+, from MENA","Idrisi Ventures provides more than capital: we help founders access relevant networks, prepare for future financing rounds, navigate key strategic decisions, and build enduring companies with long-term support.",,,https://www.openvc.app/fund/Idrisi%20Ventures,venture-capital-firms
Braemar Energy Ven...,VC firm,"Canada, France",$5M to $25M,"4. Scaling, 5. Growth",Sometimes,"We invest in technology and telecommunications opportunities within the energy sector, including cleantech and enterprise software.",,,,https://www.openvc.app/fund/Braemar%20Energy%20Ventures,venture-capital-firms
Atria Ventures,VC firm,"Canada, USA",$250k to $1.5M,"1. Idea or Patent, 2. Prototype",Never,We invest in techbio + health at early stage.,,,,https://www.openvc.app/fund/Atria%20Ventures,venture-capital-firms
Iron Wolf Capital,VC firm,"Lithuania, Latvia",$500k to $3M,"1. Idea or Patent, 2. Prototype",Sometimes,We invest in hard engineering product-driven businesses,Building a platform that supports our portfolio in growth,,,https://www.openvc.app/fund/Iron%20Wolf%20Capital,venture-capital-firms
Structure Capital,VC firm,"Canada, France",$100k to $1.5M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in seed-stage companies, providing capital, experience, and networks to support passionate teams.",,,,https://www.openvc.app/fund/Structure%20Capital,venture-capital-firms
Heroic Ventures,VC firm,"France, Israel",$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in early-stage companies across various sectors.,,,,https://www.openvc.app/fund/Heroic%20Ventures,venture-capital-firms
Atreides Managemen...,VC firm,"Israel, USA",$250k to $100M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in consumer and technology companies.,,,,https://www.openvc.app/fund/Atreides%20Management,venture-capital-firms
Woodlawn Health Ve...,VC firm,USA,$50k to $500k,"3. Early Revenue, 5. Growth",Sometimes,We invest in digital health with a primary focus on agetech.  We only invest in companies where we can use our database of long term care and senior living operators and health systems to help grow the company's revenue,"We are healthcare professionals having worked in investment banking, operating companies and digital health start ups.  We have an extensive network of healthcare companies that could benefit from the investment strategy.",,,https://www.openvc.app/fund/Woodlawn%20Health%20Ventures,venture-capital-firms
Tenzor Capital,VC firm,"Canada, Georgia",$50k to $250k,"2. Prototype, 3. Early Revenue",Never,"We invest in Web3 pioneers, builders, and enablers.",,,,https://www.openvc.app/fund/Tenzor%20Capital,venture-capital-firms
Airborne Ventures,VC firm,"Brazil, India",$150k to $1M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in early stage ventures, particularly within information technology, bringing an operator's perspective.",,,,https://www.openvc.app/fund/Airborne%20Ventures,venture-capital-firms
Sarona Ventures,VC firm,"Israel, USA",$400k to $1M,"4. Scaling, 5. Growth",Sometimes,"We invest in Proptech, Enterprise Software, Fintech",,,,https://www.openvc.app/fund/Sarona%20Ventures,venture-capital-firms
Frontier Growth,VC firm,"USA, Canada",$3M to $30M,"3. Early Revenue, 4. Scaling",Always,"We invest in product-market fit stage b2b vertical saas companies with ARR of $2 mm+ and growing.  Typical companies are vertical SaaS systems of record, intelligence, engagement, marketplaces with founder /SME's that are looking to grow rapidly with less risk.  We like niche verticals and write $2 to $30 mm checks for growth and recap.  We are happy in syndicates and lead rounds and have been a partner and founder-friendly firm since our inception. Vertical B2B SaaS is our focus.","We have a dedicated network of top operating partners and executives in each discipline of the ""Revenue Supply Chain"" to help companies go from product-market fit to vertical SaaS leaders.",,,https://www.openvc.app/fund/Frontier%20Growth,venture-capital-firms
Wedbush Ventures,VC firm,"Luxembourg, USA",$150k to $400k,"2. Prototype, 3. Early Revenue",Never,We invest in finance.,,,,https://www.openvc.app/fund/Wedbush%20Ventures,venture-capital-firms
Possible Ventures,VC firm,"Armenia, Australia",$100k to $5M,"2. Prototype, 3. Early Revenue",Never,We invest in frontier technology that positively impacts people and the planet.,,,,https://www.openvc.app/fund/Possible%20Ventures,venture-capital-firms
Information Ventur...,VC firm,"Canada, USA",$2M to $7M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in information technology.,,,,https://www.openvc.app/fund/Information%20Venture%20Partners,venture-capital-firms
Network VC,VC firm,"Ukraine, USA",$100k to $300k,"3. Early Revenue, 4. Scaling",Never,We invest in Startups in AI and Deeptech with close to $1M ARR,Also help founders raise the next round of funding.,,,https://www.openvc.app/fund/Network%20VC,venture-capital-firms
Fuel Capital,VC firm,"Canada, Spain",$500k to $1M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in consumer, business software, and cloud infrastructure companies.",,,,https://www.openvc.app/fund/Fuel%20Capital,venture-capital-firms
Seed X Liechtenste...,VC firm,"UK, Italy",$200k to $1M,"1. Idea or Patent, 2. Prototype",Never,"We invest in Fintech, Insurtech, Proptech in Europe and UK from pre-Seed to Series A.",We support our portfolio companies mainly through network in the fintech and insurtech space.,,,https://www.openvc.app/fund/Seed%20X%20Liechtenstein,venture-capital-firms
